Keyword,Avg. Monthly Searches,Top of Page Bid (Low),Top of Page Bid (High),Competition
Keyword 663,37902,0.71,2.58,High
Keyword 664,55276,0.44,2.9,Low
Keyword 665,31918,0.98,2.43,Medium
Keyword 666,30888,1.74,4.41,Medium
Keyword 667,272,1.51,2.22,Medium
Keyword 668,89058,1.01,2.23,Low
Keyword 669,31665,0.5,3.46,High
Keyword 670,57066,0.28,0.46,High
Keyword 671,35084,1.22,4.14,Low
Keyword 672,9082,0.59,0.93,Low
Keyword 673,14056,1.48,1.85,High
Keyword 674,93403,1.91,4.78,Low
Keyword 675,33184,0.42,3.03,Medium
Keyword 676,31912,0.8,0.9,Medium
Keyword 677,59347,0.98,2.16,High
Keyword 678,74492,1.39,1.64,Low
Keyword 679,73750,1.79,3.96,Low
Keyword 680,82618,0.14,2.94,Medium
Keyword 681,68885,0.72,2.75,Low
Keyword 682,17033,1.8,2.14,Medium
Keyword 683,75596,0.25,1.45,High
Keyword 684,36472,1.53,3.85,Medium
Keyword 685,18897,1.63,4.12,High
Keyword 686,16232,1.77,4.3,Medium
Keyword 687,47087,0.54,1.13,High
Keyword 688,46077,0.37,1.32,Low
Keyword 689,62705,0.66,3.45,Medium
Keyword 690,28229,1.48,2.13,High
Keyword 691,23051,0.15,1.92,Medium
Keyword 692,79533,1.31,1.93,Medium
Keyword 693,58546,0.23,3.09,Low
Keyword 694,45241,1.76,4.57,Medium
Keyword 695,38574,0.77,3.59,Low
Keyword 696,53219,0.87,3.61,Medium
Keyword 697,62795,1.26,4.12,Medium
Keyword 698,23885,0.96,3.54,Medium
Keyword 699,46854,0.64,1.48,High
Keyword 700,4192,0.66,2.67,Low
Keyword 701,59351,1.09,3.88,High
Keyword 702,56592,1.01,1.11,Medium
Keyword 703,73589,0.18,1.5,Low
Keyword 704,64434,0.46,2.09,High
Keyword 705,66894,0.82,1.25,High
Keyword 706,74239,0.76,2.53,Low
Keyword 707,22883,0.22,2.74,High
Keyword 708,51882,1.08,2.88,High
Keyword 709,19189,0.93,2.75,Medium
Keyword 710,11516,0.17,1.39,High
Keyword 711,61540,1.15,3.45,Low
Keyword 712,33447,1.84,4.78,High
Keyword 713,92946,1.57,2.33,High
Keyword 714,96338,0.93,2.83,Medium
Keyword 715,47163,1.1,3.66,Medium
Keyword 716,41653,1.85,2.07,Low
Keyword 717,13935,1.56,3.69,Low
Keyword 718,49614,0.82,2.51,Low
Keyword 719,47936,0.75,1.25,Low
Keyword 720,66499,1.64,2.82,High
Keyword 721,17137,0.33,2.03,Medium
Keyword 722,26152,1.68,4.03,Medium
Keyword 723,21318,0.69,0.86,High
Keyword 724,53463,0.14,0.68,Low
Keyword 725,90203,1.59,3.11,Medium
Keyword 726,37157,1.3,2.93,Medium
Keyword 727,22884,1.44,2.33,High
Keyword 728,93183,1.61,3.16,Medium
Keyword 729,74095,0.7,1.2,Low
Keyword 730,34418,0.65,1.96,Medium
Keyword 731,48283,1.01,3.51,High
Keyword 732,44122,1.27,2.51,Low
Keyword 733,78130,0.28,1.25,High
Keyword 734,78193,0.58,2.45,Low
Keyword 735,13541,1.75,2.51,High
Keyword 736,38579,1.09,2.41,High
Keyword 737,98058,0.39,2.69,Low
Keyword 738,16346,0.4,1.0,Low
Keyword 739,57676,1.17,1.31,High
Keyword 740,71703,0.6,1.08,High
Keyword 741,93477,0.91,3.75,Medium
Keyword 742,66779,1.83,4.77,Medium
Keyword 743,46918,1.41,2.04,Medium
Keyword 744,55158,0.8,2.19,Low
Keyword 745,1345,0.57,2.89,Low
Keyword 746,56842,0.95,3.26,High
Keyword 747,53154,1.28,1.65,High
Keyword 748,86487,1.38,2.24,High
Keyword 749,15835,1.4,4.16,Medium
Keyword 750,59536,1.5,3.73,Medium
Keyword 751,74432,0.35,2.15,Medium
Keyword 752,85491,0.31,3.08,Low
Keyword 753,26491,1.96,2.76,Low
Keyword 754,50743,1.62,3.45,Low
Keyword 755,22395,1.89,2.62,High
Keyword 756,39466,1.15,2.29,Low
Keyword 757,91703,0.84,1.18,Low
Keyword 758,73827,1.4,3.96,Low
Keyword 759,5300,1.28,1.67,High
Keyword 760,45936,1.0,2.39,Low
Keyword 761,53148,1.27,3.94,High
Keyword 762,3572,1.68,3.66,Low
Keyword 763,47702,0.45,2.39,Low
Keyword 764,32294,0.84,2.45,Low
Keyword 765,76627,0.9,1.99,Medium
Keyword 766,45334,0.68,3.53,Low
Keyword 767,4669,1.45,2.53,Low
Keyword 768,20418,1.57,2.94,Low
Keyword 769,85052,0.72,1.62,High
Keyword 770,40970,1.17,2.03,High
Keyword 771,85244,1.07,3.62,Low
Keyword 772,54887,0.2,1.04,Low
Keyword 773,71444,0.81,1.79,Low
Keyword 774,71442,1.77,2.69,Low
Keyword 775,92658,0.66,3.03,Low
Keyword 776,28925,0.13,0.54,High
Keyword 777,62733,1.87,4.38,High
Keyword 778,98647,1.53,4.3,High
Keyword 779,76050,0.78,2.16,Medium
Keyword 780,85718,1.72,4.38,Medium
Keyword 781,44249,0.2,1.94,Medium
Keyword 782,83118,0.48,1.51,Low
Keyword 783,49678,1.27,2.68,High
Keyword 784,14668,1.83,3.34,High
Keyword 785,83094,1.08,1.35,Medium
Keyword 786,48911,1.96,4.42,Medium
Keyword 787,98376,0.77,1.92,Medium
Keyword 788,64828,0.7,3.68,Medium
Keyword 789,8390,1.66,4.47,High
Keyword 790,67785,1.09,3.58,Low
Keyword 791,55357,1.23,4.2,Low
Keyword 792,43571,1.77,2.57,Medium
Keyword 793,97277,0.27,1.36,High
Keyword 794,63125,0.76,3.03,High
Keyword 795,4506,0.75,2.53,High
Keyword 796,52739,0.9,3.56,Medium
Keyword 797,76725,0.16,1.09,Medium
Keyword 798,82565,0.44,1.01,High
Keyword 799,98350,0.69,1.71,High
Keyword 800,80186,1.52,2.67,High
Keyword 801,16727,1.76,2.68,Low
Keyword 802,14012,1.1,1.71,Low
Keyword 803,26648,1.36,1.6,Low
Keyword 804,57959,1.77,3.55,Low
Keyword 805,88321,0.11,1.81,Medium
Keyword 806,45879,1.05,2.95,Low
Keyword 807,83541,1.13,1.6,Low
Keyword 808,70109,0.23,2.95,Low
Keyword 809,90527,1.15,1.62,High
Keyword 810,40242,0.41,1.23,High
Keyword 811,28853,0.99,1.96,Medium
Keyword 812,66234,0.87,1.93,High
Keyword 813,58187,0.78,1.92,Medium
Keyword 814,62597,0.39,1.75,Medium
Keyword 815,73068,1.85,2.97,Medium
Keyword 816,30428,1.08,1.3,Low
Keyword 817,52813,1.42,2.36,Low
Keyword 818,7266,1.66,3.28,High
Keyword 819,35029,1.41,4.23,High
Keyword 820,15524,0.92,2.25,Medium
Keyword 821,98542,1.42,2.26,Medium
Keyword 822,43146,1.86,2.0,Low
Keyword 823,2274,1.7,2.02,Medium
Keyword 824,23496,1.73,2.67,High
Keyword 825,50689,0.72,2.77,Low
Keyword 826,88256,0.1,0.61,Low
Keyword 827,55865,2.0,3.34,Medium
Keyword 828,26268,0.89,1.18,Low
Keyword 829,90712,0.76,1.17,High
Keyword 830,85717,0.52,1.16,Low
Keyword 831,64059,1.52,3.69,High
Keyword 832,63501,0.13,2.0,Low
Keyword 833,32424,1.85,4.47,Low
Keyword 834,54574,0.23,3.09,Low
Keyword 835,29511,0.56,3.44,Low
Keyword 836,56677,0.13,2.41,Low
Keyword 837,20899,1.72,2.63,Medium
Keyword 838,73170,1.3,2.87,High
Keyword 839,54603,0.81,2.83,Medium
Keyword 840,71473,1.81,2.24,Medium
Keyword 841,11878,0.15,2.27,Low
Keyword 842,12326,1.64,4.05,High
Keyword 843,84268,1.4,2.8,Medium
Keyword 844,75774,1.49,4.47,Low
Keyword 845,83589,0.4,1.99,High
Keyword 846,22059,0.44,1.6,High
Keyword 847,11386,1.62,4.45,Low
Keyword 848,23785,1.7,1.93,High
Keyword 849,62068,0.41,0.52,Medium
Keyword 850,32849,1.15,2.06,Low
Keyword 851,59246,1.4,1.9,Low
Keyword 852,54779,0.58,1.47,Low
Keyword 853,80296,0.13,2.35,Low
Keyword 854,76882,1.58,3.75,Medium
Keyword 855,20117,1.0,1.21,Medium
Keyword 856,14674,0.87,3.54,High
Keyword 857,25973,0.69,2.1,Medium
Keyword 858,38686,0.58,2.3,Low
Keyword 859,49355,0.11,3.04,Medium
Keyword 860,26169,1.21,3.15,Low
Keyword 861,8011,1.88,2.68,Medium
Keyword 862,65768,1.51,1.76,Medium
Keyword 863,70786,1.95,4.94,High
Keyword 864,16584,1.0,1.55,Low
Keyword 865,27702,1.84,3.05,Medium
Keyword 866,26831,1.82,4.46,Low
Keyword 867,28621,0.71,1.14,Medium
Keyword 868,939,0.44,1.29,Medium
Keyword 869,68582,0.88,1.48,High
Keyword 870,47778,1.12,2.53,Medium
Keyword 871,8302,0.97,1.2,Medium
Keyword 872,60723,1.12,1.8,High
Keyword 873,64652,1.63,3.19,Low
Keyword 874,44523,1.33,4.13,Medium
Keyword 875,58572,0.27,0.85,Medium
Keyword 876,94290,1.26,1.8,Medium
Keyword 877,1083,1.6,2.87,Medium
Keyword 878,3864,1.87,3.08,Medium
Keyword 879,31163,1.09,2.38,High
Keyword 880,2697,0.37,1.05,Medium
Keyword 881,47619,0.71,2.2,Medium
Keyword 882,34368,1.32,4.3,Low
Keyword 883,13134,0.84,2.17,Low
Keyword 884,69446,0.19,2.91,Low
Keyword 885,5471,1.06,2.85,High
Keyword 886,9725,1.19,2.45,Medium
Keyword 887,86569,1.37,2.82,Medium
Keyword 888,82546,0.85,3.49,Low
Keyword 889,62815,0.94,3.71,Low
Keyword 890,68633,1.56,3.28,High
Keyword 891,78801,0.63,1.98,High
Keyword 892,23659,1.45,1.57,Medium
Keyword 893,82255,1.73,3.33,Medium
Keyword 894,21569,0.92,3.35,Low
Keyword 895,90692,0.31,2.33,Low
Keyword 896,48764,1.57,1.74,Medium
Keyword 897,96143,0.34,0.77,Medium
Keyword 898,89920,1.51,4.04,High
Keyword 899,55756,0.7,1.78,Medium
Keyword 900,11874,0.76,3.09,High
Keyword 901,5960,0.28,2.97,High
Keyword 902,36549,1.13,1.54,Medium
Keyword 903,54157,0.47,0.75,High
Keyword 904,20855,1.63,4.59,Medium
Keyword 905,45381,0.31,1.26,High
Keyword 906,7441,1.26,4.18,High
Keyword 907,38712,1.06,1.64,Medium
Keyword 908,56949,1.62,4.09,High
Keyword 909,83026,0.82,2.58,High
Keyword 910,82631,1.62,3.23,Medium
Keyword 911,64235,1.39,1.96,High
Keyword 912,54528,0.81,2.97,High
Keyword 913,73195,1.99,4.42,Low
Keyword 914,14290,0.45,2.74,High
Keyword 915,96750,1.07,1.74,Low
Keyword 916,77475,1.61,2.82,Low
Keyword 917,68766,0.51,1.03,Medium
Keyword 918,42324,0.13,1.5,High
Keyword 919,81933,0.48,1.05,Low
Keyword 920,63728,0.82,1.53,Medium
Keyword 921,19184,1.57,2.92,High
Keyword 922,79587,1.3,2.96,Medium
Keyword 923,33871,0.15,1.64,Medium
Keyword 924,7983,1.82,3.22,Low
Keyword 925,63681,0.89,3.41,High
Keyword 926,29112,1.6,4.52,High
Keyword 927,79404,0.19,3.11,High
Keyword 928,8526,1.32,1.59,Low
Keyword 929,63458,0.31,1.3,Medium
Keyword 930,43901,1.75,4.51,Low
Keyword 931,57690,1.12,2.06,High
Keyword 932,35743,1.97,3.25,Low
Keyword 933,88166,1.83,3.57,High
Keyword 934,39666,0.1,2.87,Medium
Keyword 935,61162,0.88,3.03,High
Keyword 936,80701,1.97,2.88,Low
Keyword 937,29755,1.53,4.0,High
Keyword 938,82820,1.23,1.58,High
Keyword 939,97535,1.39,2.54,Medium
Keyword 940,86649,0.35,0.47,Medium
Keyword 941,6156,1.91,2.37,Medium
Keyword 942,1986,1.07,2.03,High
Keyword 943,62458,1.37,2.75,High
Keyword 944,48838,0.58,1.23,High
Keyword 945,83332,1.56,1.78,Medium
Keyword 946,76595,0.5,1.12,Medium
Keyword 947,12742,0.53,2.82,High
Keyword 948,81340,0.89,1.55,Low
Keyword 949,70674,1.46,4.32,Medium
Keyword 950,48536,1.67,2.65,High
Keyword 951,10015,0.54,1.1,High
Keyword 952,79056,0.83,3.47,High
Keyword 953,85501,0.79,1.5,Medium
Keyword 954,17137,0.44,1.99,Medium
Keyword 955,50826,0.75,2.88,Medium
Keyword 956,1308,0.94,1.41,Medium
Keyword 957,72425,1.28,4.27,Medium
Keyword 958,19679,0.62,1.99,Low
Keyword 959,85559,1.04,2.88,Medium
Keyword 960,48718,0.98,2.69,High
Keyword 961,55078,1.8,4.45,Low
Keyword 962,54000,0.99,2.51,Medium
Keyword 963,57275,1.55,3.92,Medium
Keyword 964,96640,0.64,1.91,High
Keyword 965,25437,1.54,4.48,Medium
Keyword 966,93224,0.7,3.4,High
Keyword 967,46205,0.34,0.85,Low
Keyword 968,25288,1.76,4.24,Low
Keyword 969,90497,1.82,3.2,Low
Keyword 970,18649,0.62,1.21,Low
Keyword 971,77351,1.54,3.59,Medium
Keyword 972,30768,1.51,2.17,Medium
Keyword 973,36764,0.13,0.97,Low
Keyword 974,34906,0.86,1.2,Low
Keyword 975,35918,1.96,4.76,Low
Keyword 976,90559,1.57,4.37,Low
Keyword 977,4229,0.26,2.33,High
Keyword 978,89197,1.09,3.29,High
Keyword 979,30200,1.86,3.98,High
Keyword 980,54673,0.99,3.08,Medium
Keyword 981,92633,1.82,2.42,Medium
Keyword 982,10626,0.84,3.38,Medium
Keyword 983,4556,0.24,3.09,High
Keyword 984,75767,0.59,1.47,High
Keyword 985,24996,1.91,3.3,Medium
Keyword 986,72111,1.75,2.41,Low
Keyword 987,34663,1.59,3.01,Low
Keyword 988,89617,0.4,1.0,Medium
Keyword 989,85221,0.93,3.35,Medium
Keyword 990,1050,1.69,2.82,Low
Keyword 991,73667,0.58,1.35,Medium
Keyword 992,94473,0.77,3.25,Medium
Keyword 993,45594,0.49,3.21,High
Keyword 994,26919,0.26,1.12,High
Keyword 995,26057,0.49,2.0,Low
Keyword 996,60580,1.18,2.75,Low
Keyword 997,58109,0.41,0.6,Medium
Keyword 998,69771,1.11,1.8,Medium
Keyword 999,14713,0.45,0.88,Medium
Keyword 1000,52870,1.72,2.34,Medium
